segment_id,wellbore_chev_no_id,area_id,formation_id,bit_model_id,drillbit_size,min_depth,max_depth,rate_of_penetration,surface_weight_on_bit,surface_rpm
wellbore_chev_no_0_727,wellbore_chev_no_0,area_0,formation_62,bit_model_1,12.25,21834.5,21839.5,99.61465038,43.53327977,150.3690907
wellbore_chev_no_0_728,wellbore_chev_no_0,area_0,formation_61,bit_model_1,12.25,21840,21869.5,99.35402133,42.3820329,150.3690008
wellbore_chev_no_0_729,wellbore_chev_no_0,area_0,formation_59,bit_model_1,12.25,21870,21899.5,83.62290732,48.67512856,150.4293345
wellbore_chev_no_0_730,wellbore_chev_no_0,area_0,formation_65,bit_model_1,12.25,21900,21929.5,85.42773094,30.04129035,150.0799998
wellbore_chev_no_0_731,wellbore_chev_no_0,area_0,formation_65,bit_model_1,12.25,21930,21959.5,100.6398112,31.4063192,150.0321671
wellbore_chev_no_0_732,wellbore_chev_no_0,area_0,formation_64,bit_model_1,12.25,21960,21989.5,101.1601393,31.75538378,149.9996651
wellbore_chev_no_0_733,wellbore_chev_no_0,area_0,formation_63,bit_model_1,12.25,21990,22019.5,101.2510223,38.83993912,149.9866666
wellbore_chev_no_0_734,wellbore_chev_no_0,area_0,formation_63,bit_model_1,12.25,22020,22049.5,94.21099739,32.60122485,149.9191661
wellbore_chev_no_0_735,wellbore_chev_no_0,area_0,formation_63,bit_model_1,12.25,22050,22079.5,100.9669949,25.65776548,149.8298335
wellbore_chev_no_0_736,wellbore_chev_no_0,area_0,formation_63,bit_model_1,12.25,22080,22109.5,101.3501052,26.77440739,149.8278328
wellbore_chev_no_0_737,wellbore_chev_no_0,area_0,formation_63,bit_model_1,12.25,22110,22139.5,83.7016428,27.67646561,133.5178324
wellbore_chev_no_0_738,wellbore_chev_no_0,area_0,formation_63,bit_model_1,12.25,22140,22169.5,81.87035408,38.43171706,139.949833
wellbore_chev_no_0_739,wellbore_chev_no_0,area_0,formation_63,bit_model_1,12.25,22170,22199.5,94.23412164,23.82278426,149.5036672
wellbore_chev_no_0_740,wellbore_chev_no_0,area_0,formation_63,bit_model_1,12.25,22200,22229.5,86.26073271,27.61436815,141.164666
wellbore_chev_no_0_741,wellbore_chev_no_0,area_0,formation_63,bit_model_1,12.25,22230,22259.5,101.6797184,31.89941978,150.1023323
wellbore_chev_no_0_742,wellbore_chev_no_0,area_0,formation_63,bit_model_1,12.25,22260,22289.5,90.99164225,32.85291878,134.4713334
wellbore_chev_no_0_743,wellbore_chev_no_0,area_0,formation_63,bit_model_1,12.25,22290,22319.5,88.92970505,32.60783846,120.678333
wellbore_chev_no_0_744,wellbore_chev_no_0,area_0,formation_63,bit_model_1,12.25,22320,22349.5,99.16251094,29.07088776,120.8764999
wellbore_chev_no_0_745,wellbore_chev_no_0,area_0,formation_63,bit_model_1,12.25,22350,22379.5,85.71410217,29.6646678,120.8698331
wellbore_chev_no_0_746,wellbore_chev_no_0,area_0,formation_63,bit_model_1,12.25,22380,22409.5,85.50563221,33.64217412,140.8256658
wellbore_chev_no_0_747,wellbore_chev_no_0,area_0,formation_63,bit_model_1,12.25,22410,22439.5,99.29707667,33.82148342,150.057166
wellbore_chev_no_0_748,wellbore_chev_no_0,area_0,formation_63,bit_model_1,12.25,22440,22469.5,90.32127679,28.54288162,150.4941676
wellbore_chev_no_0_749,wellbore_chev_no_0,area_0,formation_233,bit_model_1,12.25,22470,22499.5,98.78845024,32.55051769,150.5055
wellbore_chev_no_0_750,wellbore_chev_no_0,area_0,formation_233,bit_model_1,12.25,22500,22529.5,98.09635328,36.33034318,150.4671677
wellbore_chev_no_0_751,wellbore_chev_no_0,area_0,formation_233,bit_model_1,12.25,22530,22559.5,98.02620303,38.59044959,150.5731677
wellbore_chev_no_0_752,wellbore_chev_no_0,area_0,formation_233,bit_model_1,12.25,22560,22589.5,92.39103781,33.99895544,150.1905006
wellbore_chev_no_0_753,wellbore_chev_no_0,area_0,formation_233,bit_model_1,12.25,22590,22619.5,101.5140729,31.2560373,149.9448326
wellbore_chev_no_0_754,wellbore_chev_no_0,area_0,formation_233,bit_model_1,12.25,22620,22649.5,87.30987307,33.56133699,149.9838328
wellbore_chev_no_0_755,wellbore_chev_no_0,area_0,formation_233,bit_model_1,12.25,22650,22679.5,87.26877975,39.92645035,150.0039996
wellbore_chev_no_0_756,wellbore_chev_no_0,area_0,formation_71,bit_model_1,12.25,22680,22709.5,91.98197009,28.64135505,149.9668315
wellbore_chev_no_0_757,wellbore_chev_no_0,area_0,formation_69,bit_model_1,12.25,22710,22739.5,72.58734292,18.91342015,150.4972883
wellbore_chev_no_0_758,wellbore_chev_no_0,area_0,formation_68,bit_model_1,12.25,22740,22769.5,78.50662524,29.45081889,150.4848343
wellbore_chev_no_0_759,wellbore_chev_no_0,area_0,formation_67,bit_model_1,12.25,22770,22799.5,78.48567568,33.59183486,150.4418348
wellbore_chev_no_0_760,wellbore_chev_no_0,area_0,formation_67,bit_model_1,12.25,22800,22829.5,80.26003354,35.74611877,150.4445
wellbore_chev_no_0_761,wellbore_chev_no_0,area_0,formation_67,bit_model_1,12.25,22830,22859.5,74.48189831,37.19088135,150.220666
wellbore_chev_no_0_762,wellbore_chev_no_0,area_0,formation_67,bit_model_1,12.25,22860,22889.5,78.28409665,39.28747711,150.0593318
wellbore_chev_no_0_763,wellbore_chev_no_0,area_0,formation_67,bit_model_1,12.25,22890,22919.5,81.8668677,43.10478185,150.0621653
wellbore_chev_no_0_764,wellbore_chev_no_0,area_0,formation_67,bit_model_1,12.25,22920,22949.5,77.3445914,46.21697369,150.0544996
wellbore_chev_no_0_765,wellbore_chev_no_0,area_0,formation_67,bit_model_1,12.25,22950,22979.5,69.22244517,46.1611234,149.8474991
wellbore_chev_no_0_766,wellbore_chev_no_0,area_0,formation_67,bit_model_1,12.25,22980,23009.5,77.45935688,31.08554643,149.9549998
wellbore_chev_no_0_767,wellbore_chev_no_0,area_0,formation_67,bit_model_1,12.25,23010,23039.5,81.97346039,35.9956083,149.9694984
wellbore_chev_no_0_768,wellbore_chev_no_0,area_0,formation_67,bit_model_1,12.25,23040,23069.5,81.59272016,41.74122238,149.9451663
wellbore_chev_no_0_769,wellbore_chev_no_0,area_0,formation_67,bit_model_1,12.25,23070,23099.5,81.61146952,44.87656352,149.9536662
wellbore_chev_no_0_770,wellbore_chev_no_0,area_0,formation_67,bit_model_1,12.25,23100,23129.5,75.41075993,45.44829617,149.4691655
wellbore_chev_no_0_771,wellbore_chev_no_0,area_0,formation_67,bit_model_1,12.25,23130,23159.5,79.17023099,42.51357594,149.1701655
wellbore_chev_no_0_772,wellbore_chev_no_0,area_0,formation_72,bit_model_1,12.25,23160,23189.5,72.11300074,46.21366666,149.1119995
wellbore_chev_no_0_773,wellbore_chev_no_0,area_0,formation_80,bit_model_1,12.25,23190,23219.5,72.0825044,51.11821696,149.1679995
wellbore_chev_no_0_774,wellbore_chev_no_0,area_0,formation_76,bit_model_1,12.25,23220,23249.5,69.45090141,47.99132783,149.233166
wellbore_chev_no_0_775,wellbore_chev_no_0,area_0,formation_76,bit_model_1,12.25,23250,23279.5,70.9673989,38.44494406,149.7024989
wellbore_chev_no_0_776,wellbore_chev_no_0,area_0,formation_76,bit_model_1,12.25,23280,23309.5,69.32772713,42.49630483,149.7253314
wellbore_chev_no_0_777,wellbore_chev_no_0,area_0,formation_76,bit_model_1,12.25,23310,23339.5,78.62248294,42.67451223,149.7250003
wellbore_chev_no_0_778,wellbore_chev_no_0,area_0,formation_76,bit_model_1,12.25,23340,23369.5,81.69218763,49.53676828,149.7701663
wellbore_chev_no_0_779,wellbore_chev_no_0,area_0,formation_76,bit_model_1,12.25,23370,23399.5,76.90479628,42.14613762,150.1471667
wellbore_chev_no_0_780,wellbore_chev_no_0,area_0,formation_76,bit_model_1,12.25,23400,23429.5,77.41586227,37.40362778,150.3385
wellbore_chev_no_0_781,wellbore_chev_no_0,area_0,formation_76,bit_model_1,12.25,23430,23459.5,79.29413687,40.1957811,148.9193336
wellbore_chev_no_0_782,wellbore_chev_no_0,area_0,formation_76,bit_model_1,12.25,23460,23489.5,76.86960506,42.6006574,149.9513331
wellbore_chev_no_0_783,wellbore_chev_no_0,area_0,formation_82,bit_model_1,12.25,23490,23519.5,74.35216707,42.94127185,150.0271665
